Entity,Code,Year,Deforestation
Africa,OWID_AFR,1990,3065370
Africa,OWID_AFR,2000,3590590
Africa,OWID_AFR,2010,4054850
Africa,OWID_AFR,2015,3251240
Africa,OWID_AFR,2020,3021250
Algeria,DZA,1990,30700
Algeria,DZA,2000,28050
Algeria,DZA,2010,33790
Algeria,DZA,2015,11560
Algeria,DZA,2020,8670
Angola,AGO,2000,510440
Angola,AGO,2010,510440
Angola,AGO,2015,510440
Angola,AGO,2020,510440
Argentina,ARG,1990,285800
Argentina,ARG,2000,382800
Argentina,ARG,2010,276100
Argentina,ARG,2015,191900
Argentina,ARG,2020,195300
Asia,OWID_ASI,1990,3267360
Asia,OWID_ASI,2000,1988550
Asia,OWID_ASI,2010,1806590
Asia,OWID_ASI,2015,1567390
Asia,OWID_ASI,2020,1016870
Australia,AUS,1990,645280
Australia,AUS,2000,666890
Australia,AUS,2010,441920
Australia,AUS,2015,447460
Austria,AUT,1990,5460
Austria,AUT,2000,7650
Austria,AUT,2010,5130
Austria,AUT,2015,5130
Austria,AUT,2020,5130
Azerbaijan,AZE,1990,950
Azerbaijan,AZE,2000,38720
Azerbaijan,AZE,2010,81640
Azerbaijan,AZE,2015,89740
Bahrain,BHR,1990,0
Bahrain,BHR,2000,0
Bahrain,BHR,2010,0
Bahrain,BHR,2015,0
Bahrain,BHR,2020,0
Bangladesh,BGD,2010,18190
Belarus,BLR,1990,5800
Belarus,BLR,2000,7200
Belarus,BLR,2010,4100
Belarus,BLR,2015,3500
Belgium,BEL,2010,1810
Belgium,BEL,2015,2470
Belize,BLZ,2000,7600
Belize,BLZ,2010,13120
Belize,BLZ,2015,10190
Benin,BEN,2000,145670
Benin,BEN,2010,156090
Benin,BEN,2015,63420
Benin,BEN,2020,56160
Bhutan,BTN,1990,0
Bhutan,BTN,2000,190
Bhutan,BTN,2010,340
Bhutan,BTN,2015,430
Bhutan,BTN,2020,8480
Brazil,BRA,1990,6433770
Brazil,BRA,2000,5023190
Brazil,BRA,2010,1915700
Brazil,BRA,2015,2628410
Brazil,BRA,2020,3256050
Bulgaria,BGR,1990,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2010,0
Bulgaria,BGR,2015,0
Bulgaria,BGR,2020,0
Burkina Faso,BFA,1990,195830
Burkina Faso,BFA,2000,145370
Burkina Faso,BFA,2010,129460
Burkina Faso,BFA,2015,128369
Burkina Faso,BFA,2020,127910
Cameroon,CMR,1990,90550
Cameroon,CMR,2000,71700
Cameroon,CMR,2010,58000
Cameroon,CMR,2015,180500
Cameroon,CMR,2020,118960
Canada,CAN,1990,54560
Canada,CAN,2000,50850
Canada,CAN,2010,48190
Canada,CAN,2015,55640
Canada,CAN,2020,50520
Cayman Islands,CYM,1990,20
Cayman Islands,CYM,2000,20
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2015,0
Cayman Islands,CYM,2020,0
Central African Republic,CAF,1990,34990
Central African Republic,CAF,2000,34990
Central African Republic,CAF,2010,34990
Central African Republic,CAF,2015,46520
Central African Republic,CAF,2020,46520
Chad,TCD,1990,38030
Chad,TCD,2000,82570
Chad,TCD,2010,128220
Chad,TCD,2015,128210
Chad,TCD,2020,128210
Chile,CHL,1990,10110
Chile,CHL,2000,14210
Chile,CHL,2010,11270
Chile,CHL,2015,9400
Chile,CHL,2020,11030
China,CHN,1990,327540
China,CHN,2000,312760
China,CHN,2010,329970
China,CHN,2015,333870
China,CHN,2020,274000
Colombia,COL,1990,260120
Colombia,COL,2000,138660
Colombia,COL,2010,103170
Colombia,COL,2015,183870
Colombia,COL,2020,133420
Comoros,COM,1990,440
Comoros,COM,2000,550
Comoros,COM,2010,550
Comoros,COM,2015,440
Comoros,COM,2020,0
Congo,COG,1990,12000
Congo,COG,2000,12000
Congo,COG,2010,20340
Congo,COG,2015,25900
Congo,COG,2020,0
Costa Rica,CRI,1990,9290
Costa Rica,CRI,2000,4310
Costa Rica,CRI,2010,10030
Costa Rica,CRI,2015,4500
Costa Rica,CRI,2020,4500
Cote d'Ivoire,CIV,1990,220280
Cote d'Ivoire,CIV,2000,139760
Cote d'Ivoire,CIV,2010,139760
Cote d'Ivoire,CIV,2015,116050
Cote d'Ivoire,CIV,2020,92340
Croatia,HRV,1990,40
Croatia,HRV,2000,330
Croatia,HRV,2010,90
Croatia,HRV,2015,50
Croatia,HRV,2020,40
Cuba,CUB,1990,0
Cuba,CUB,2000,0
Cuba,CUB,2010,0
Cuba,CUB,2015,0
Cuba,CUB,2020,0
Czechia,CZE,1990,780
Czechia,CZE,2000,780
Czechia,CZE,2010,780
Czechia,CZE,2015,2640
Czechia,CZE,2020,2640
Democratic Republic of Congo,COD,1990,675420
Democratic Republic of Congo,COD,2000,675590
Democratic Republic of Congo,COD,2010,1006340
Democratic Republic of Congo,COD,2015,283970
Democratic Republic of Congo,COD,2020,283500
Denmark,DNK,1990,30
Denmark,DNK,2000,180
Denmark,DNK,2010,260
Denmark,DNK,2015,620
Denmark,DNK,2020,1230
Djibouti,DJI,1990,0
Djibouti,DJI,2000,0
Djibouti,DJI,2010,0
Djibouti,DJI,2015,0
Djibouti,DJI,2020,0
Dominica,DMA,2000,40
Dominica,DMA,2010,40
Dominica,DMA,2015,40
Dominica,DMA,2020,40
